Customer,Account.Length,International.Plan,Voice.Mail.Plan,Voice.Mail.Messages,Day.Minutes,Day.Calls,Day.Charge,Evening.Minutes,Evening.Calls,Evening.Charge,Night.Minutes,Night.Calls,Night.Charge,International.Minutes,International.Calls,International.Charge,Customer.Service.Calls,Churn
44,117,No,No,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,No
45,125,No,No,0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8,2,2.16,0,No
46,120,No,Yes,33,299.5,83,50.92,163.4,84,13.89,146.7,88,6.6,11.6,5,3.13,0,No
47,42,No,No,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9,3,2.43,0,No
48,137,No,No,0,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27,1,No
49,182,No,No,0,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89,2,Yes
50,167,No,No,0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3,4,Yes
51,138,No,Yes,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15,3,4.05,1,No
52,86,No,No,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,Yes
53,82,No,No,0,154,107,26.18,94.4,114,8.02,287.6,95,12.94,10.1,7,2.73,1,No
54,78,No,No,0,103.5,115,17.6,117.9,102,10.02,201,94,9.05,12,3,3.24,4,Yes
55,52,No,No,0,124.9,131,21.23,300.5,118,25.54,192.5,106,8.66,11.6,4,3.13,2,No
56,90,No,No,0,61.3,91,10.42,194.4,94,16.52,143.1,80,6.44,11.4,9,3.08,1,No
57,51,No,No,0,197.8,60,33.63,221,64,18.79,168.6,134,7.59,8.9,5,2.4,1,No
58,164,No,Yes,30,238.8,100,40.6,230,121,19.55,206.3,66,9.28,13.2,8,3.56,1,No
59,97,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,No
60,105,No,No,0,246.4,83,41.89,256.2,101,21.78,169,151,7.61,3.8,4,1.03,0,No
61,139,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,Yes
62,128,No,No,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4,No
63,136,No,No,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1,Yes
64,155,No,No,0,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,No
65,41,No,No,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,5,301,1,No
66,141,No,Yes,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8,3,2.16,4,No
67,137,No,Yes,22,189.6,42,32.23,179,137,15.22,179.6,126,8.08,11.4,5,3.08,2,No
68,114,No,Yes,30,206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,1,No
69,147,No,No,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,No
70,95,No,Yes,20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0,No
71,152,No,No,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,No
72,166,No,No,0,152.1,95,25.86,121,105,10.29,198,126,8.91,9.8,5,2.65,0,No
73,90,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,No
74,111,No,No,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4,No
75,46,No,No,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,11.2,5,3.02,3,No
76,87,No,Yes,33,125,99,21.25,235.3,81,20,215.3,95,9.69,10.2,7,2.75,2,No
77,6,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,No
78,87,No,No,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,No
79,124,Yes,No,0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,No
80,122,No,No,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,No
81,54,No,No,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,No
82,74,No,No,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,No
83,40,No,No,0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1,No
84,46,No,No,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,No
85,80,No,Yes,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,No
86,59,No,Yes,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0,No
87,86,No,No,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,No
88,119,No,Yes,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,No
89,104,No,Yes,18,182.1,66,30.96,213.6,65,18.16,193,108,8.69,13.4,9,3.62,2,No
90,165,No,No,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0,No
91,82,No,No,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,No
92,64,No,Yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,No
93,62,No,No,0,86.3,84,14.67,238.7,99,20.29,238.4,79,10.73,12.5,1,3.38,2,No
94,1,No,Yes,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,No
95,46,No,No,0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2,Yes
96,96,No,No,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,Yes
97,74,No,No,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,No
98,79,No,No,0,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,No
99,110,No,No,0,188,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,No
100,64,No,No,0,148.1,73,25.18,164.9,101,14.02,216,125,9.72,12.3,2,3.32,5,Yes
101,135,No,No,0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1,No
102,82,No,No,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,No
103,95,No,Yes,32,247,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3,No
104,76,No,No,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0,No
105,133,No,Yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5,No
106,55,No,Yes,20,189.3,95,32.18,118.6,113,10.08,250.2,102,11.26,12.5,4,3.38,2,No
107,32,No,No,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,No
108,112,Yes,Yes,16,200.3,72,34.05,197.8,91,16.81,151.1,92,6.8,10.4,3,2.81,1,No
109,57,No,No,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0,No
110,137,No,No,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,No
111,75,No,No,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,No
112,124,No,No,0,178.3,102,30.31,235,120,19.98,239.7,119,10.79,10.9,1,2.94,3,No
113,117,Yes,Yes,22,196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,1,No
114,22,No,No,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2,No
115,107,No,No,0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2,No
116,62,No,No,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,No
117,82,No,No,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,No
118,63,No,No,0,261.8,69,44.51,245,135,20.83,202.1,94,9.09,14.7,4,3.97,0,Yes
119,27,No,No,0,226.3,95,38.47,274.3,109,23.32,242.7,119,10.92,8.2,3,2.21,2,Yes
120,95,No,No,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,No
121,151,No,No,0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,No
122,70,No,No,0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1,No
123,143,No,No,0,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,10.2,2,2.75,2,No
124,108,No,Yes,15,165.1,85,28.07,267,93,22.7,250.7,114,11.28,10.9,4,2.94,1,No
125,83,No,No,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,No
126,121,No,No,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,No
127,129,No,No,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1,Yes
128,104,Yes,No,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,No
129,87,No,No,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2,4,No
130,120,No,No,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,No
131,155,No,Yes,39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,No
132,174,No,No,0,235.5,108,40.04,142.3,143,12.1,316.7,131,14.25,12.5,5,3.38,0,No
133,93,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,No
134,138,Yes,No,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,No
135,115,Yes,No,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,Yes
136,113,No,No,0,159.8,143,27.17,210.1,93,17.86,175.1,86,7.88,13.1,7,3.54,2,No
137,182,No,No,0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,No
138,95,No,No,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,No
139,1,No,No,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7,2,1.89,1,No
140,24,No,No,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,No
141,92,Yes,Yes,45,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03,0,No
142,127,No,Yes,19,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29,2,No
143,113,No,Yes,23,149,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,No
144,140,No,No,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,No
145,122,No,No,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,Yes
146,64,No,No,0,168,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,No
147,70,No,No,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,No
148,114,No,Yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,No
149,196,No,No,0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,No
150,130,No,No,0,154,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,No
151,78,No,Yes,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,No
152,141,No,No,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0,No
153,7,No,No,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11,5,2.97,3,No
154,83,No,Yes,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,No
155,45,No,No,0,142.4,107,24.21,318.7,78,27.09,224.1,108,10.08,11.1,7,3,1,No
156,127,No,No,0,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15,2,4.05,1,No
157,115,No,No,0,210.6,120,35.8,153.1,84,13.01,262.2,79,11.8,11,5,2.97,0,No
158,119,No,Yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,8,5,2.16,2,No
159,12,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,Yes
160,147,No,No,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3,No
161,152,No,No,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,No
162,51,Yes,No,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0,Yes
163,23,No,Yes,31,156.6,84,26.62,161.5,96,13.73,294.6,107,13.26,9.4,6,2.54,1,No
164,111,No,No,0,78.3,119,13.31,198.2,94,16.85,248.5,94,11.18,12.1,4,3.27,1,No
165,163,No,Yes,40,231.9,56,39.42,211.8,91,18,268.5,74,12.08,12.3,3,3.32,2,No
166,117,No,No,0,144.6,115,24.58,258.8,66,22,253.2,113,11.39,7.4,9,2,2,No
167,110,No,No,0,159.5,145,27.12,202.3,101,17.2,256,96,11.52,16.7,2,4.51,2,No
168,185,No,No,0,55.6,97,9.45,288.7,83,24.54,111.2,110,5,12.1,3,3.27,2,No
169,106,No,No,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,No
170,123,No,No,0,211,92,35.87,217,102,18.45,214.8,104,9.67,9.8,7,2.65,3,No
171,46,No,No,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,No
172,134,No,No,0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,No
173,90,No,No,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13,7,3.51,1,No
174,110,No,No,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,No
175,76,No,No,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10,4,2.7,1,No
176,31,No,No,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7,5,1.89,1,No
177,95,No,Yes,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,No
178,141,Yes,Yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,No
179,130,No,Yes,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2,No
180,44,No,No,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,No
181,67,No,No,0,129,78,21.93,188,116,15.98,235,102,10.58,11.2,3,3.02,2,No
182,94,No,No,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,No
183,120,No,No,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3,1,No
184,63,No,No,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,No
185,70,No,No,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0,No
186,121,Yes,Yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,No
187,58,No,No,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,No
188,103,No,No,0,129.3,103,21.98,202.8,89,17.24,233,126,10.49,12.9,2,3.48,2,No
189,148,No,No,0,203,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1,No
190,19,No,Yes,34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,No
191,40,No,Yes,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,Yes
192,28,No,No,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,No
193,140,No,No,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,No
194,117,No,No,0,158.7,84,26.98,181.7,91,15.44,177.3,67,7.98,7.7,10,2.08,2,No
195,67,No,No,0,176.2,120,29.95,236,138,20.06,152.5,104,6.86,10.6,4,2.86,1,No
196,99,No,Yes,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,No
197,82,No,No,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,No
198,16,No,No,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,No
199,123,No,Yes,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3,No
200,105,No,Yes,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,No
201,121,No,No,0,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,No
202,135,No,Yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,No
203,104,No,No,0,263.4,101,44.78,235.5,117,20.02,102,146,4.59,13,4,3.51,0,No
204,157,No,Yes,29,219.2,102,37.26,206,109,17.51,192.4,117,8.66,15,5,4.05,1,No
205,103,No,Yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,Yes
206,117,No,Yes,17,221.3,82,37.62,167.6,100,14.25,262.7,87,11.82,4.4,4,1.19,0,No
207,90,No,No,0,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13,1,3.51,1,No
208,113,No,No,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,No
209,93,No,No,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,No
210,104,No,No,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,No
211,89,No,No,0,89.7,80,15.25,179.8,81,15.28,145.7,120,6.56,9.5,4,2.57,2,No
212,97,No,No,0,151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,1,No
213,53,No,No,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,No
214,107,No,No,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,No
215,32,No,Yes,31,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13,2,3.51,0,No
216,143,No,No,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,No
217,185,No,Yes,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,No
218,131,No,Yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,No
219,98,No,No,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,No
220,160,No,No,0,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48,1,No
221,135,No,Yes,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,Yes
222,100,No,No,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,Yes
223,72,No,No,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,No
224,94,Yes,No,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,Yes
225,115,No,No,0,268,115,45.56,153.6,106,13.06,232.3,65,10.45,17,1,4.59,3,No
226,148,No,Yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,No
227,36,No,No,0,178.6,83,30.36,213.1,103,18.11,198,119,8.91,10.9,5,2.94,1,No
228,55,No,No,0,119.7,148,20.35,231.8,96,19.7,222.3,113,10,4.6,2,1.24,2,No
229,151,No,No,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,No
230,113,No,No,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,Yes
231,47,No,Yes,27,165,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,No
232,65,No,No,0,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4.2,5,1.13,4,Yes
233,63,No,No,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,No
234,80,Yes,No,0,189.1,122,32.15,223.2,92,18.97,269,116,12.11,13.9,3,3.75,2,Yes
235,45,No,Yes,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,No
236,53,No,No,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,No
237,41,No,Yes,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,No
238,52,No,No,0,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,1,No
239,90,No,Yes,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,No
240,112,No,No,0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,Yes
241,65,No,No,0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,1,No
242,87,No,No,0,171.6,119,29.17,205,107,17.43,170.6,114,7.68,13.8,4,3.73,0,No
243,76,No,No,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,Yes
244,62,No,No,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11,5,2.97,0,No
245,138,No,No,0,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16,1,No
246,157,No,No,0,168.6,71,28.66,205.1,48,17.43,175.8,88,7.91,5.9,2,1.59,3,No
247,44,No,No,0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0,No
248,72,No,Yes,39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,No
249,74,No,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,No
250,57,Yes,No,0,115,65,19.55,122.3,96,10.4,245,75,11.03,6.4,1,1.73,0,Yes
251,144,Yes,No,0,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,No
252,47,No,No,0,155.3,116,26.4,188.2,85,16,247,73,11.12,12.3,4,3.32,3,No
253,94,Yes,No,0,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,No
