Date,AverageTransaction,Date,Units,income,riskscore,subscribed,opened,Price,return-N6M,return-HYG,return-IVV,HYG_txn_cnt,IVV_txn_cnt,N6M_txn_cnt,DATE,rtn-N6M,rtn-HYG,rtn-IVV,vol_N6M,vol_HYG,vol_IVV,TRate_y,FRSC_y,SCRate_y,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
2020-02-12,1238.9079900961667,2020/2/12,27.98970615,25580.11645,4,0,0,88.379997,0.0,0.0026089999999999998,0.006412999999999999,1,0,0,2020-02-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8,0.03,1,0,0,0,1
2020-03-18,1238.9079900961667,2020/3/18,17.08562398,25580.11645,4,0,0,72.989998,0.0,-0.044133,-0.05567999999999999,1,0,0,2020-03-18,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8,0.03,1,0,0,0,1
2020-02-12,1238.9079900961667,2020/2/12,219.30231780000003,25580.11645,4,0,0,11.28,0.0,0.0026089999999999998,0.006412999999999999,0,0,1,2020-02-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8,0.03,1,0,0,0,1
2019-10-09,1468.430879875518,2019/10/9,0.0,110118.9425,5,0,0,292.880005,0.0,0.003022,0.009479000000000001,0,1,0,2019-10-09,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,0,1,1,0,0
2019-12-10,1468.430879875518,2019/12/10,27.9372972,110118.9425,5,0,0,315.369995,-0.000908,0.002416,-0.001045,0,1,0,2019-12-10,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,0,1,1,0,0
2019-11-19,2759.330758222716,2019/11/19,-11.86468932,152825.5386,5,0,0,313.679993,-0.003604,-0.0035700000000000003,-0.000223,0,1,0,2019-11-19,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6363636363636362,0.042727272727272725,0,1,1,0,0
2019-12-23,2759.330758222716,2019/12/23,7.36792727,152825.5386,5,0,0,322.609985,0.000907,0.00045599999999999997,0.000713,0,1,0,2019-12-23,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6363636363636362,0.042727272727272725,0,1,1,0,0
2020-01-24,2759.330758222716,2020/1/24,-10.1483231,152825.5386,5,0,0,330.230011,0.0,-0.004202,-0.009092,0,1,0,2020-01-24,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6363636363636362,0.042727272727272725,0,1,1,0,0
2019-11-19,2759.330758222716,2019/11/19,43.01567029,152825.5386,5,0,0,86.519997,-0.003604,-0.0035700000000000003,-0.000223,1,0,0,2019-11-19,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6363636363636362,0.042727272727272725,0,1,1,0,0
2020-01-24,2759.330758222716,2020/1/24,38.21736539,152825.5386,5,0,0,87.690002,0.0,-0.004202,-0.009092,1,0,0,2020-01-24,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6363636363636362,0.042727272727272725,0,1,1,0,0
2019-09-06,23.496009005423318,2019/9/6,0.0,59029.702529999995,5,0,0,299.829987,-0.007206999999999999,0.000919,0.000667,0,1,0,2019-09-06,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-01-28,23.496009005423318,2020/1/28,0.0,59029.702529999995,5,0,0,328.329987,0.001786,0.008611,0.01065,0,1,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-02-25,23.496009005423318,2020/2/25,0.0,59029.702529999995,5,0,0,314.119995,0.000883,-0.006981,-0.029985,0,1,0,2020-02-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-03-04,23.496009005423318,2020/3/4,0.0,59029.702529999995,5,0,0,314.75,0.0,0.013731,0.043947,0,1,0,2020-03-04,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-03-16,23.496009005423318,2020/3/16,1.321781635,59029.702529999995,5,0,0,240.11999500000002,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,2020-03-16,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-03-20,23.496009005423318,2020/3/20,-1.321781635,59029.702529999995,5,0,0,231.16000400000001,0.007121,-0.022425,-0.04503,0,1,0,2020-03-20,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-03-25,23.496009005423318,2020/3/25,0.0,59029.702529999995,5,0,0,247.47000099999997,0.010204000000000001,0.028127999999999997,0.0064670000000000005,0,1,0,2020-03-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2019-09-06,23.496009005423318,2019/9/6,0.0,59029.702529999995,5,0,0,87.139999,-0.007206999999999999,0.000919,0.000667,1,0,0,2019-09-06,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-01-28,23.496009005423318,2020/1/28,0.0,59029.702529999995,5,0,0,87.849998,0.001786,0.008611,0.01065,1,0,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-02-25,23.496009005423318,2020/2/25,0.0,59029.702529999995,5,0,0,86.769997,0.000883,-0.006981,-0.029985,1,0,0,2020-02-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2020-03-25,23.496009005423318,2020/3/25,0.0,59029.702529999995,5,0,0,73.470001,0.010204000000000001,0.028127999999999997,0.0064670000000000005,1,0,0,2020-03-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,1,0,0
2019-12-13,1158.4937398600637,2019/12/13,-4.85154944,124125.4999,5,0,0,319.079987,0.0,0.0010279999999999998,0.00034500000000000004,0,1,0,2019-12-13,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2020-03-03,1158.4937398600637,2020/3/3,-2.29445816,124125.4999,5,0,0,301.5,0.0008900000000000001,-0.004287,-0.028673,0,1,0,2020-03-03,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2020-03-16,1158.4937398600637,2020/3/16,30.49328883,124125.4999,5,0,0,240.11999500000002,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,2020-03-16,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2020-03-26,1158.4937398600637,2020/3/26,-35.18204702,124125.4999,5,0,0,262.369995,0.008081,0.045732999999999996,0.060209000000000006,0,1,0,2020-03-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2019-12-13,1158.4937398600637,2019/12/13,17.66958469,124125.4999,5,0,0,87.610001,0.0,0.0010279999999999998,0.00034500000000000004,1,0,0,2019-12-13,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2020-03-03,1158.4937398600637,2020/3/3,8.049559217999999,124125.4999,5,0,0,85.940002,0.0008900000000000001,-0.004287,-0.028673,1,0,0,2020-03-03,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2020-03-26,1158.4937398600637,2020/3/26,120.14464740000001,124125.4999,5,0,0,76.83000200000001,0.008081,0.045732999999999996,0.060209000000000006,1,0,0,2020-03-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.5714285714285716,0.04142857142857143,0,1,0,1,0
2019-12-18,3332.2295462156053,2019/12/18,15.20377157,369346.5807,4,0,0,88.209999,0.006375,0.0018170000000000003,6.3e-05,1,0,0,2019-12-18,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0032499999999999994,1.875,0.0,0,1,0,0,1
2020-02-21,3332.2295462156053,2020/2/21,121.73064209999998,369346.5807,4,0,0,88.33000200000001,0.001771,-0.0009050000000000001,-0.010281,1,0,0,2020-02-21,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0032499999999999994,1.875,0.0,0,1,0,0,1
2020-03-09,3332.2295462156053,2020/3/9,428.31877410000004,369346.5807,4,0,0,11.29,-0.007909000000000001,-0.043033999999999996,-0.080013,0,0,1,2020-03-09,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0032499999999999994,1.875,0.0,0,1,0,0,1
2020-03-10,3332.2295462156053,2020/3/10,21.57482472,369346.5807,4,0,0,82.639999,0.005314,0.015358000000000002,0.053675,1,0,0,2020-03-10,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0032499999999999994,1.875,0.0,0,1,0,0,1
2019-10-25,7074.9015864155035,2019/10/25,5.044734494,120357.9226,5,1,1,303.309998,0.00271,0.000802,0.003972,0,1,0,2019-10-25,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,0,1,0,1,0
2019-10-02,190.40149317716202,2019/10/2,-0.136532876,20472.16172,5,1,1,289.630005,0.003636,-0.005888,-0.017904,0,1,0,2019-10-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,0,0,1
2020-03-12,190.40149317716202,2020/3/12,1.7530558,20472.16172,5,1,1,248.960007,-0.014493,-0.039955000000000004,-0.096236,0,1,0,2020-03-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,0,0,1
2019-10-02,190.40149317716202,2019/10/2,0.45922677,20472.16172,5,1,1,86.110001,0.003636,-0.005888,-0.017904,1,0,0,2019-10-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6666666666666665,0.043333333333333335,1,0,0,0,1
2020-01-28,3791.317196627798,2020/1/28,51.31572452,231249.6613,5,0,0,328.329987,0.001786,0.008611,0.01065,0,1,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.625,0.04250000000000001,0,1,1,0,0
2020-01-28,3791.317196627798,2020/1/28,191.787041,231249.6613,5,0,0,87.849998,0.001786,0.008611,0.01065,1,0,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.625,0.04250000000000001,0,1,1,0,0
2020-01-21,4964.32399707709,2020/1/21,-19.915388699999998,148550.1089,4,1,1,88.16999799999999,0.001791,-0.001076,-0.0010810000000000001,1,0,0,2020-01-21,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8888888888888888,0.034444444444444444,1,0,0,1,0
2020-01-28,4964.32399707709,2020/1/28,138.62955490000002,148550.1089,4,1,1,87.849998,0.001786,0.008611,0.01065,1,0,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8888888888888888,0.034444444444444444,1,0,0,1,0
2020-01-21,4964.32399707709,2020/1/21,156.9204452,148550.1089,4,1,1,11.19,0.001791,-0.001076,-0.0010810000000000001,0,0,1,2020-01-21,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8888888888888888,0.034444444444444444,1,0,0,1,0
2020-01-28,4964.32399707709,2020/1/28,37.09257941,148550.1089,4,1,1,328.329987,0.001786,0.008611,0.01065,0,1,0,2020-01-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8888888888888888,0.034444444444444444,1,0,0,1,0
2019-12-04,2670.5514653308887,2019/12/4,637.0953967999999,168101.448,4,1,0,11.01,-0.0036200000000000004,0.003009,0.006201,0,0,1,2019-12-04,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.125,0.0375,1,0,0,1,0
2020-02-26,2670.5514653308887,2020/2/26,-12.02689435,168101.448,4,1,0,86.860001,0.000883,0.001037,-0.0038520000000000004,1,0,0,2020-02-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.125,0.0375,1,0,0,1,0
2020-02-26,2670.5514653308887,2020/2/26,3.3385191969999997,168101.448,4,1,0,312.910004,0.000883,0.001037,-0.0038520000000000004,0,1,0,2020-02-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.125,0.0375,1,0,0,1,0
2020-03-13,45.60509015250598,2020/3/13,-5.090563309,47994.400910000004,5,0,0,271.549988,-0.016544,0.031439,0.090737,0,1,0,2020-03-13,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.6,0.042,0,1,1,0,0
2019-10-22,2330.032091483019,2019/10/22,50.06855761,98448.18146,3,0,0,87.139999,0.0027199999999999998,0.00022999999999999998,-0.0034799999999999996,1,0,0,2019-10-22,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,0,1,0
2020-02-12,2330.032091483019,2020/2/12,19.31344433,98448.18146,3,0,0,88.379997,0.0,0.0026089999999999998,0.006412999999999999,1,0,0,2020-02-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,0,1,0
2020-03-13,2330.032091483019,2020/3/13,-281.1413525,98448.18146,3,0,0,10.7,-0.016544,0.031439,0.090737,0,0,1,2020-03-13,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,0,1,0
2019-10-22,2330.032091483019,2019/10/22,394.48228389999997,98448.18146,3,0,0,11.06,0.0027199999999999998,0.00022999999999999998,-0.0034799999999999996,0,0,1,2019-10-22,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,0,1,0
2020-03-13,2330.032091483019,2020/3/13,37.57916751,98448.18146,3,0,0,80.050003,-0.016544,0.031439,0.090737,1,0,0,2020-03-13,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.6666666666666667,0.03,0,1,0,1,0
2020-01-02,338.30324662984134,2020/1/2,-8.985093727,99935.05077999999,4,0,0,88.309998,0.003633,0.004207,0.009529000000000001,1,0,0,2020-01-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-03-10,338.30324662984134,2020/3/10,4.227158199,99935.05077999999,4,0,0,82.639999,0.005314,0.015358000000000002,0.053675,1,0,0,2020-03-10,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-03-17,338.30324662984134,2020/3/17,-13.21225193,99935.05077999999,4,0,0,76.360001,-0.041937999999999996,0.009385,0.063593,1,0,0,2020-03-17,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-03-26,338.30324662984134,2020/3/26,-13.21225193,99935.05077999999,4,0,0,76.83000200000001,0.008081,0.045732999999999996,0.060209000000000006,1,0,0,2020-03-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-01-02,338.30324662984134,2020/1/2,71.80756643,99935.05077999999,4,0,0,11.05,0.003633,0.004207,0.009529000000000001,0,0,1,2020-01-02,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-03-10,338.30324662984134,2020/3/10,1.206466461,99935.05077999999,4,0,0,289.549988,0.005314,0.015358000000000002,0.053675,0,1,0,2020-03-10,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2020-03-26,338.30324662984134,2020/3/26,3.86895362,99935.05077999999,4,0,0,262.369995,0.008081,0.045732999999999996,0.060209000000000006,0,1,0,2020-03-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.090909090909091,0.035454545454545454,1,0,1,0,0
2019-09-12,2948.836223246545,2019/9/12,0.0,199580.6562,3,1,0,87.32,-0.00091,0.000573,0.0031780000000000003,1,0,0,2019-09-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2019-10-01,2948.836223246545,2019/10/1,9.820509243,199580.6562,3,1,0,86.620003,-0.000908,-0.006309,-0.012093000000000001,1,0,0,2019-10-01,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2020-02-28,2948.836223246545,2020/2/28,115.0116271,199580.6562,3,1,0,86.040001,-0.0035240000000000002,0.004084,-0.009373999999999999,1,0,0,2020-02-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2020-03-11,2948.836223246545,2020/3/11,0.0,199580.6562,3,1,0,80.839996,-0.027313,-0.021781000000000002,-0.048627,1,0,0,2020-03-11,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2020-03-19,2948.836223246545,2020/3/19,0.0,199580.6562,3,1,0,71.349998,-0.043774,-0.022469,0.0036899999999999997,1,0,0,2020-03-19,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2020-02-28,2948.836223246545,2020/2/28,874.942574,199580.6562,3,1,0,11.31,-0.0035240000000000002,0.004084,-0.009373999999999999,0,0,1,2020-02-28,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.8571428571428572,0.03,0,1,0,1,0
2019-10-15,1044.9911376195712,2019/10/15,-155.4704899,76580.39472000001,2,0,0,11.07,-0.0018030000000000001,0.002188,0.009842,0,0,1,2019-10-15,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2019-12-20,1044.9911376195712,2019/12/20,98.30086532,76580.39472000001,2,0,0,11.02,0.000908,-0.00148,0.005113,0,0,1,2019-12-20,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2020-02-12,1044.9911376195712,2020/2/12,0.0,76580.39472000001,2,0,0,88.379997,0.0,0.0026089999999999998,0.006412999999999999,1,0,0,2020-02-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2020-03-10,1044.9911376195712,2020/3/10,79.24441651,76580.39472000001,2,0,0,11.35,0.005314,0.015358000000000002,0.053675,0,0,1,2020-03-10,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2019-10-15,1044.9911376195712,2019/10/15,19.77773366,76580.39472000001,2,0,0,87.019997,-0.0018030000000000001,0.002188,0.009842,1,0,0,2019-10-15,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2019-12-20,1044.9911376195712,2019/12/20,12.34924217,76580.39472000001,2,0,0,87.720001,0.000908,-0.00148,0.005113,1,0,0,2019-12-20,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2020-02-12,1044.9911376195712,2020/2/12,0.0,76580.39472000001,2,0,0,11.28,0.0,0.0026089999999999998,0.006412999999999999,0,0,1,2020-02-12,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,1.4444444444444444,0.030000000000000002,0,1,0,0,1
2019-11-21,4055.7677430960002,2019/11/21,0.0,145904.7972,2,1,0,86.360001,0.0,0.00023199999999999997,-0.00144,1,0,0,2019-11-21,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.003,1.6,0.0,1,0,1,0,0
2020-03-26,4055.7677430960002,2020/3/26,601.4066362000001,145904.7972,2,1,0,9.98,0.008081,0.045732999999999996,0.060209000000000006,0,0,1,2020-03-26,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.003,1.6,0.0,1,0,1,0,0
2019-09-04,160.88212776097652,2019/9/4,-12.3040918,124021.8545,5,0,0,295.76001,-0.0026829999999999996,0.0020800000000000003,0.011457,0,1,0,2019-09-04,1.0170556552962298,0.9619452186038671,1.1202789322615627,0.36737010865705144,4.43559870281094,22.10263252209494,0.0,2.8,0.046,0,1,0,1,0
